filename,OBJNAM,client,SURATH,sursso,ch_typ,glocat,plocat,kmstar,km_end,prjtyp,SURSTA,SUREND,SORIND,INFORM,PICREP,TECSOU,HORDAT,VERDAT,HUNITS,DUNITS,SURTYP,POSACC,SOUACC,CATZOC,lwschm,geodif,planam,sur_id,pubweb,objst8,objdel
11011SA_101A.csar,11011SA_101A,CCG - Pacific,PWGSC - Geomatic Services,11011,0,0,56,-1,1,Recon,,20110627,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA_101
11010SA3333A.csar,11010SA3333A,CCG - Pacific,PWGSC - Geomatic Services,11010,0,0,1,33,33,Recon,,20110624,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA3333
11010SA0710A.csar,11010SA0710A,CCG - Pacific,PWGSC - Geomatic Services,11010,0,0,64,7,10.3,Recon,,20110623,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0710
11010SA0104A.csar,11010SA0104A,CCG - Pacific,PWGSC - Geomatic Services,11010,0,0,57,1,4,Recon,,20110622,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0104
11010SA_101A.csar,11010SA_101A,CCG - Pacific,PWGSC - Geomatic Services,11010,0,0,56,-1,1,Recon,,20110621,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA_101
11010SA3234A.csar,11010SA3234A,CCG - Pacific,PWGSC - Geomatic Services,11010,0,0,1,32,34,Recon,,20110620,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA3234
11009SA0104A.csar,11009SA0104A,CCG - Pacific,PWGSC - Geomatic Services,11009,0,0,57,1,4,Recon,,20110616,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0104
11009SA0507A.csar,11009SA0507A,CCG - Pacific,PWGSC - Geomatic Services,11009,0,0,63,5,7,Recon,,20110614,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0507
11009SA0710A.csar,11009SA0710A,CCG - Pacific,PWGSC - Geomatic Services,11009,0,0,64,7,10,Recon,,20110613,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA0710
11008SA3234A.csar,11008SA3234A,CCG - Pacific,PWGSC - Geomatic Services,11008,0,0,1,32,34,Recon,,20110610,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA3234
11008SA_101A.csar,11008SA_101A,CCG - Pacific,PWGSC - Geomatic Services,11008,0,0,56,-1,1,Recon,,20110609,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA_101
11008SA0104A.csar,11008SA0104A,CCG - Pacific,PWGSC - Geomatic Services,11008,0,0,57,1,4,Recon,,20110609,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA0104
11008SA1617A.csar,11008SA1617A,CCG - Pacific,PWGSC - Geomatic Services,11008,0,0,69,16,17.5,Recon,,20110607,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA1617
11008SA0710A.csar,11008SA0710A,CCG - Pacific,PWGSC - Geomatic Services,11008,0,0,64,7,10,Recon,,20110606,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0710
11007SA_101A.csar,11007SA_101A,CCG - Pacific,PWGSC - Geomatic Services,11007,0,0,56,-1,1,Recon,,20110601,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA_101
11007SA0104A.csar,11007SA0104A,CCG - Pacific,PWGSC - Geomatic Services,11007,0,0,57,1,4,Recon,,20110531,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0104
11007SA3234A.csar,11007SA3234A,CCG - Pacific,PWGSC - Geomatic Services,11007,0,0,1,32,34,Recon,,20110530,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA3234
11006SA_101A.csar,11006SA_101A,CCG - Pacific,PWGSC - Geomatic Services,11006,0,0,56,-1,1,Recon,,20110527,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA_101
11006SA0710A.csar,11006SA0710A,CCG - Pacific,PWGSC - Geomatic Services,11006,0,0,64,7,10,Recon,,20110526,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0710
11006SA0104A.csar,11006SA0104A,CCG - Pacific,PWGSC - Geomatic Services,11006,0,0,57,1,4,Recon,,20110525,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0104
11006SA3234A.csar,11006SA3234A,CCG - Pacific,PWGSC - Geomatic Services,11006,0,0,1,32,34,Recon,,20110524,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA3234
11005SA_101A.csar,11005SA_101A,CCG - Pacific,PWGSC - Geomatic Services,11005,0,0,56,-1,1,Recon,,20110512,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA_101
11005SA3234A.csar,11005SA3234A,CCG - Pacific,PWGSC - Geomatic Services,11005,0,0,1,32,34,Recon,,20110511,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA3234
11005SA0710A.csar,11005SA0710A,CCG - Pacific,PWGSC - Geomatic Services,11005,0,0,64,7,10,Recon,,20110510,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0710
11005SA0104A.csar,11005SA0104A,CCG - Pacific,PWGSC - Geomatic Services,11005,0,0,57,1,3.5,Recon,,20110509,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0104
10032SA_101A.csar,10032SA_101A,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,56,-1,1,Annual,,20110401,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA_101
10032SA0104A.csar,10032SA0104A,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,57,1,4,Annual,,20110401,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA0104
10032SA0407A.csar,10032SA0407A,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,63,4,7,Annual,,20110329,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA0407
10032SA0711A.csar,10032SA0711A,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,64,7,11,Annual,,20110328,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA0711
10032CC0912A.csar,10032CC0912A,CCG - Pacific,PWGSC - Geomatic Services,10032,1,0,8,9,12,Annual,,20110324,,,,1,75,13,1,1,2,,,3,2,n/a,Lifetimer,CC0912
10032SA1116A.csar,10032SA1116A,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,69,11,16,Annual,,20110323,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA1116
10032SA_100B.csar,10032SA_100B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,56,-1,0,Annual,,20110322,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA_100
10032SA0001B.csar,10032SA0001B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,56,0,1,Annual,,20110322,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0001
10032SA0103B.csar,10032SA0103B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,57,1,3,Annual,,20110321,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0103
10032SA0304B.csar,10032SA0304B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,57,3,4,Annual,,20110317,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0304
10032SA0405B.csar,10032SA0405B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,57,4,5,Annual,,20110317,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0405
10032CC0912B.csar,10032CC0912B,CCG - Pacific,PWGSC - Geomatic Services,10032,1,0,12,9,12,Annual,,20110315,,,,1,75,13,1,1,2,,,3,2,n/a,,CC0912
10032SA0507B.csar,10032SA0507B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,63,5,7,Annual,,20110314,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0507
10032SA0711B.csar,10032SA0711B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,64,7,11,Annual,,20110310,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0711
10032SA1619A.csar,10032SA1619A,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,69,16,19,Annual,,20110310,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA1619
10032SA1116B.csar,10032SA1116B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,69,11,16,Annual,,20110309,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA1116
10032SA1619B.csar,10032SA1619B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,69,16,19,Annual,,20110308,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA1619
10032SA1923A.csar,10032SA1923A,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,31,19,23,Annual,,20110308,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA1923
10032SA1921B.csar,10032SA1921B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,31,19,21,Annual,,20110307,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA1921
10032SA2123B.csar,10032SA2123B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,31,21,23,Annual,,20110303,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA2123
10032SA2327B.csar,10032SA2327B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,31,23,27,Annual,,20110303,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA2327
10032SA2731B.csar,10032SA2731B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,16,27,31,Annual,,20110302,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA2731
10032SA3135A.csar,10032SA3135A,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,1,31,35,Annual,,20110301,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA3135
10020PR4950A.csar,10020PR4950A,CCG - Pacific,PWGSC - Geomatic Services,10020,0,4,13,49,50,Recon,,20110222,,,,8,75,13,1,1,2,,,1,4,0.70m below GD,MV Profiler II,PR4950
10032SA2327A.csar,10032SA2327A,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,31,23,27,Annual,,20110221,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA2327
10039SA0104A.csar,10039SA0104A,CCG - Pacific,PWGSC - Geomatic Services,10039,0,0,57,1,4,Recon,,20110217,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0104
10039SA0507A.csar,10039SA0507A,CCG - Pacific,PWGSC - Geomatic Services,10039,0,0,63,5,7,Recon,,20110215,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0507
10039SA0710A.csar,10039SA0710A,CCG - Pacific,PWGSC - Geomatic Services,10039,0,0,64,7,10,Recon,,20110214,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0710
10032SA2731A.csar,10032SA2731A,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,16,27,31,Annual,,20110210,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA2731
10032GS3132B.csar,10032GS3132B,CCG - Pacific,PWGSC - Geomatic Services,10032,1,0,32,31,32,Annual,,20110208,,,,1,75,13,1,1,2,,,3,2,n/a,Lifetimer,GS3132
10032SA3135B.csar,10032SA3135B,CCG - Pacific,PWGSC - Geomatic Services,10032,0,0,1,31,35,Annual,,20110208,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA3135
10034SA_200A.csar,10034SA_200A,CCG - Pacific,PWGSC - Geomatic Services,10034,0,0,56,-2,0,Recon,,20110203,,,,1,75,13,1,1,2,,,3,2,n/a,MV Shoal Point,SA_200
10036SA3234A.csar,10036SA3234A,CCG - Pacific,PWGSC - Geomatic Services,10036,0,0,1,32,34,Recon,,20110131,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA3234
10036SA0710A.csar,10036SA0710A,CCG - Pacific,PWGSC - Geomatic Services,10036,0,0,64,7,10,Recon,,20110127,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0710
10036SA0104A.csar,10036SA0104A,CCG - Pacific,PWGSC - Geomatic Services,10036,0,0,57,1,4,Recon,,20110125,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA0104
10037SA2324A.csar,10037SA2324A,CCG - Pacific,PWGSC - Geomatic Services,10037,0,0,31,23,24,Recon,,20110125,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA2324
10036SA_101A.csar,10036SA_101A,CCG - Pacific,PWGSC - Geomatic Services,10036,0,0,56,-1,1,Recon,,20110124,,,,8,75,13,1,1,2,,,1,2,n/a,MV Profiler II,SA_101
10035VH-LYNNTERM.csar,10035VH-LYNNTERM,CCG - Pacific,PWGSC - Geomatic Services,10035,0,13,36,,,Recon,,20110119,,,,8,75,13,1,1,2,,,1,5,3.02m below GD,MV Profiler II,VH-LYN
10032DS1718A.csar,10032DS1718A,CCG - Pacific,PWGSC - Geomatic Services,10032,1,0,18,17,18,Annual,,20110113,,,,1,75,13,1,1,2,,,3,2,n/a,Lifetimer,DS1718
10032SR1115A.csar,10032SR1115A,CCG - Pacific,PWGSC - Geomatic Services,10032,1,0,60,11,15,Annual,,20110111,,,,1,75,13,1,1,2,,,3,2,n/a,Lifetimer,SR1115
